"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"PRY",5,2001,234.26803575900004043,31328.023558335554823
"PRY",5,2002,187.64195919296440691,27468.405641195473593
"PRY",5,2003,248.33023714646262954,39445.752247262584003
"PRY",5,2004,121.18415840855041829,17596.3842191911944995
"PRY",5,2005,241.95617721894861607,46624.676849098171112
"PRY",5,2006,43.89311472647462685,7642.489490082664976
"PRY",5,2007,159.14071635728073601,33294.077358938022084
"PRY",5,2008,354.01561326350978870,75379.695502434724053
"PRY",5,2009,286.43933486935357263,47716.548247701256145
"PRY",5,2010,76.62012563933271002,15994.573606041479594
"PRY",5,2011,380.19736739418844638,81497.845236455444889
"PRY",5,2012,217.43546235838545637,53314.214134569514181
"PRY",5,2013,230.82665733339198202,49427.027000002599435
"PRY",5,2014,349.99646418919666319,73528.160623991199075
"PRY",5,2015,146.79776799927955370,30735.6510585869520365
"PRY",5,2016,971.25776073481673704,220160.209647177538747
"PRY",5,2017,554.98729865498256482,127172.9743724539433836
"PRY",5,2018,696.06312095362699251,151045.297637889496669
"PRY",5,2019,413.73299144739753982,97733.427583178396125
"PRY",5,2020,504.71783862839154452,95990.355567332246139
"PRY",5,2021,321.35178540144370995,67700.621159013815234
"PRY",5,2022,461.95514628438621411,110859.979009561396779
"PRY",5,2023,125.28464966805641753,26786.610890761860020
"PRY",5,2024,94.49759532709629380,19582.65021216053170
"PRY",5,2025,104.46242387672966283,24764.559889797689135
